# OBD-II DTC Database — Format: CODE,SEVERITY,DESCRIPTION
# Severity: INFO | WARNING | CRITICAL
P0010,WARNING,Intake Camshaft Position Actuator Circuit (Bank 1)
P0011,WARNING,Intake Camshaft Position Timing Over-Advanced (Bank 1)
P0016,WARNING,Crankshaft/Camshaft Position Correlation (Bank 1 Sensor A)
P0030,WARNING,HO2S Heater Control Circuit (Bank 1 Sensor 1)
P0100,WARNING,Mass Air Flow Circuit Malfunction
P0101,WARNING,Mass Air Flow Circuit Range/Performance
P0102,WARNING,Mass Air Flow Circuit Low Input
P0103,WARNING,Mass Air Flow Circuit High Input
P0110,WARNING,Intake Air Temperature Circuit Malfunction
P0111,WARNING,Intake Air Temperature Circuit Range/Performance
P0112,WARNING,Intake Air Temperature Circuit Low Input
P0113,WARNING,Intake Air Temperature Circuit High Input
P0115,WARNING,Engine Coolant Temperature Circuit Malfunction
P0116,WARNING,Engine Coolant Temperature Circuit Range/Performance
P0117,CRITICAL,Engine Coolant Temperature Circuit Low Input
P0118,CRITICAL,Engine Coolant Temperature Circuit High Input
P0119,WARNING,Engine Coolant Temperature Circuit Intermittent
P0120,WARNING,Throttle Position Sensor Circuit Malfunction
P0121,WARNING,Throttle Position Sensor Circuit Range/Performance
P0122,WARNING,Throttle Position Sensor Circuit Low Input
P0123,WARNING,Throttle Position Sensor Circuit High Input
P0125,WARNING,Insufficient Coolant Temperature for Closed Loop
P0128,WARNING,Coolant Temperature Below Thermostat Regulating Temperature
P0130,WARNING,O2 Sensor Circuit Malfunction (Bank 1 Sensor 1)
P0131,WARNING,O2 Sensor Circuit Low Voltage (Bank 1 Sensor 1)
P0132,WARNING,O2 Sensor Circuit High Voltage (Bank 1 Sensor 1)
P0133,WARNING,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1)
P0134,WARNING,O2 Sensor Circuit No Activity (Bank 1 Sensor 1)
P0135,WARNING,O2 Sensor Heater Circuit Malfunction (Bank 1 Sensor 1)
P0140,WARNING,O2 Sensor Circuit No Activity (Bank 1 Sensor 2)
P0141,WARNING,O2 Sensor Heater Circuit Malfunction (Bank 1 Sensor 2)
P0150,WARNING,O2 Sensor Circuit Malfunction (Bank 2 Sensor 1)
P0171,WARNING,System Too Lean (Bank 1)
P0172,WARNING,System Too Rich (Bank 1)
P0174,WARNING,System Too Lean (Bank 2)
P0175,WARNING,System Too Rich (Bank 2)
P0190,WARNING,Fuel Rail Pressure Sensor Circuit Malfunction
P0191,WARNING,Fuel Rail Pressure Sensor Circuit Range/Performance
P0200,WARNING,Injector Circuit Malfunction
P0201,CRITICAL,Injector Circuit Malfunction - Cylinder 1
P0202,CRITICAL,Injector Circuit Malfunction - Cylinder 2
P0203,CRITICAL,Injector Circuit Malfunction - Cylinder 3
P0204,CRITICAL,Injector Circuit Malfunction - Cylinder 4
P0217,CRITICAL,Engine Coolant Over Temperature Condition
P0218,CRITICAL,Transmission Over Temperature Condition
P0219,CRITICAL,Engine Overspeed Condition
P0230,WARNING,Fuel Pump Primary Circuit Malfunction
P0231,WARNING,Fuel Pump Secondary Circuit Low
P0232,WARNING,Fuel Pump Secondary Circuit High
P0300,CRITICAL,Random/Multiple Cylinder Misfire Detected
P0301,CRITICAL,Cylinder 1 Misfire Detected
P0302,CRITICAL,Cylinder 2 Misfire Detected
P0303,CRITICAL,Cylinder 3 Misfire Detected
P0304,CRITICAL,Cylinder 4 Misfire Detected
P0305,CRITICAL,Cylinder 5 Misfire Detected
P0306,CRITICAL,Cylinder 6 Misfire Detected
P0320,CRITICAL,Ignition/Distributor Engine Speed Input Circuit Malfunction
P0325,WARNING,Knock Sensor Circuit Malfunction (Bank 1)
P0326,WARNING,Knock Sensor Circuit Range/Performance (Bank 1)
P0335,CRITICAL,Crankshaft Position Sensor Circuit Malfunction
P0336,CRITICAL,Crankshaft Position Sensor Circuit Range/Performance
P0340,CRITICAL,Camshaft Position Sensor Circuit Malfunction (Bank 1)
P0341,WARNING,Camshaft Position Sensor Circuit Range/Performance (Bank 1)
P0380,WARNING,Glow Plug/Heater Circuit Malfunction
P0400,WARNING,Exhaust Gas Recirculation Flow Malfunction
P0401,WARNING,Exhaust Gas Recirculation Flow Insufficient
P0402,WARNING,Exhaust Gas Recirculation Flow Excessive
P0410,WARNING,Secondary Air Injection System Malfunction
P0420,WARNING,Catalyst System Efficiency Below Threshold (Bank 1)
P0421,WARNING,Warm Up Catalyst Efficiency Below Threshold (Bank 1)
P0430,WARNING,Catalyst System Efficiency Below Threshold (Bank 2)
P0440,WARNING,Evaporative Emission Control System Malfunction
P0441,WARNING,Evaporative Emission Control System Incorrect Purge Flow
P0442,INFO,Evaporative Emission System Leak Detected (Small Leak)
P0443,WARNING,Evaporative Emission System Purge Control Valve Malfunction
P0446,WARNING,Evaporative Emission System Vent Control Malfunction
P0450,WARNING,Evaporative Emission System Pressure Sensor Malfunction
P0455,WARNING,Evaporative Emission System Leak Detected (Large Leak)
P0456,INFO,Evaporative Emission System Leak Detected (Very Small Leak)
P0460,INFO,Fuel Level Sensor Circuit Malfunction
P0461,INFO,Fuel Level Sensor Circuit Range/Performance
P0480,WARNING,Cooling Fan Relay Control Circuit Malfunction
P0500,WARNING,Vehicle Speed Sensor Malfunction
P0501,WARNING,Vehicle Speed Sensor Range/Performance
P0505,WARNING,Idle Control System Malfunction
P0506,WARNING,Idle Control System RPM Lower Than Expected
P0507,WARNING,Idle Control System RPM Higher Than Expected
P0520,CRITICAL,Engine Oil Pressure Sensor Circuit Malfunction
P0521,CRITICAL,Engine Oil Pressure Sensor Circuit Range/Performance
P0522,CRITICAL,Engine Oil Pressure Sensor Circuit Low Voltage
P0523,CRITICAL,Engine Oil Pressure Sensor Circuit High Voltage
P0524,CRITICAL,Engine Oil Pressure Too Low
P0530,WARNING,A/C Refrigerant Pressure Sensor Circuit Malfunction
P0560,WARNING,System Voltage Malfunction
P0562,WARNING,System Voltage Low
P0563,WARNING,System Voltage High
P0571,WARNING,Brake Switch Circuit Malfunction
P0600,CRITICAL,Serial Communication Link Malfunction
P0601,CRITICAL,Internal Control Module Memory Check Sum Error
P0602,CRITICAL,Control Module Programming Error
P0603,CRITICAL,Internal Control Module Keep Alive Memory Error
P0604,CRITICAL,Internal Control Module RAM Error
P0605,CRITICAL,Internal Control Module ROM Error
P0606,CRITICAL,PCM Processor Fault
P0700,WARNING,Transmission Control System Malfunction
P0711,WARNING,Transmission Fluid Temperature Sensor Circuit Range/Performance
P0712,WARNING,Transmission Fluid Temperature Sensor Circuit Low Input
P0713,WARNING,Transmission Fluid Temperature Sensor Circuit High Input
P0715,WARNING,Input/Turbine Speed Sensor Circuit Malfunction
P0720,WARNING,Output Speed Sensor Circuit Malfunction
P0730,CRITICAL,Incorrect Gear Ratio
P0740,CRITICAL,Torque Converter Clutch Circuit Malfunction
P0741,WARNING,Torque Converter Clutch Circuit Stuck Off
P0748,WARNING,Pressure Control Solenoid Electrical
P0750,WARNING,Shift Solenoid A Malfunction
P0755,WARNING,Shift Solenoid B Malfunction
P0760,WARNING,Shift Solenoid C Malfunction
P0780,WARNING,Shift Malfunction
P0800,WARNING,Transfer Case Control System Malfunction
P1000,INFO,OBD Systems Readiness Test Not Complete
